Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Track Score;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach;Spotify Popularity;Explicit Track
MILLION DOLLAR BABY;Million Dollar Baby - Single;Tommy Richman;4/26/2024;QM24S2402528;1;30,211;390,470,936;30,716;196,631,588;92;0
Not Like Us;Not Like Us;Kendrick Lamar;05/04/24;USUG12400910;2;22,715;323,703,884;28,113;174,597,137;92;1
i like the way you kiss me;I like the way you kiss me;Artemas;3/19/2024;QZJ842400387;3;22,419;601,309,283;54,331;211,607,669;92;0
Flowers;Flowers - Single;Miley Cyrus;01/12/23;USSM12209777;4;18,506;2,031,280,633;269,802;136,569,078;85;0
Houdini;Houdini;Eminem;5/31/2024;USUG12403398;5;17,627;107,034,922;7,223;151,469,874;88;1
Lovin On Me;Lovin On Me;Jack Harlow;11/10/23;USAT22311371;6;17,084;670,665,438;105,892;175,421,034;83;1
Beautiful Things;Beautiful Things;Benson Boone;1/18/2024;USWB12307016;7;16,960;900,158,751;73,118;201,585,714;86;0
Gata Only;Gata Only;FloyyMenor;02/02/24;QZL382406049;8;15,631;675,079,153;40,094;211,236,940;92;1
BAND4BAND (feat. Lil Baby);BAND4BAND (feat. Lil Baby);Central Cee;5/23/2024;USSM12404354;10;13,754;90,676,573;10,4;184,199,419;86;1
I Had Some Help (feat. Morgan Wallen);I Had Some Help;Post Malone;05/10/24;USUM72404990;11;13,417;250,080,413;16,219;168,766,158;91;1
The Door;The Door;Teddy Swims;6/14/2024;USWB12402486;12;13,335;111,155,129;2;263,767;;1
LUNCH;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401991;13;13,169;221,636,195;13,8;197,280,692;92;0
Like That;WE DON'T TRUST YOU;Future;3/22/2024;USSM12402041;14;12,835;355,186,436;43,025;108,168,634;88;1
bathroom floor;bathroom floor;Kids With Buns;10/07/22;NLC242100307;15;12,546;297,185;277;24,445;12;0
LALA;LALA - Single;Myke Towers;3/22/2023;USWL12300002;16;12,465;925,655,569;103,605;79,944,921;79;1
Fortnight (feat. Post Malone);THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401028;17;12,379;395,433,400;12,784;177,932,568;89;0
greedy;greedy;Tate McRae;9/14/2023;USRC12301932;18;12,213;1,258,569,694;105,218;198,845,580;87;1
BLUE;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401996;19;12,171;91,272,461;6,499;52,287,548;86;0
As It Was;As It Was;Harry Styles;3/31/2022;USSM12200612;20;292,000;3,301,814,535;407,119;169,783,402;87;0
Paint The Town Red;Paint The Town Red;Doja Cat;08/04/23;USRC12300907;21;12,087;1,065,399,331;170,89;121,712,197;78;1
Espresso;Espresso;Sabrina Carpenter;04/12/24;USUM72403305;22;11,712;547,882,871;24,425;262,343,414;95;1
Danza Kuduro - Cover;CLUB DE YOKUKIKU YOUGAKU MEDLEY;MUSIC LAB JPN;5/21/2024;TCJPA2445163;23;279,000;1,655,575,417;10;655;;1
TEXAS HOLD 'EM;TEXAS HOLD 'EM;Beyoncï¿;02/10/24;USSM12401302;24;11,590;426,700,979;34,044;152,928,632;86;1
Beat Automotivo Tan Tan Tan Viral;Beat Automotivo Tan Tan Tan Viral;WZ Beat;5/24/2022;BXWEH2200054;26;11,167;7,382,759;3,504;661,084;35;0
STAY (with Justin Bieber);STAY (with Justin Bieber);The Kid LAROI;07/09/21;USSM12103949;27;11,085;3,107,100,349;451,732;134,793,519;78;1
we can't be friends (wait for your love);eternal sunshine;Ariana Grande;03/08/24;USUM72317276;29;10,922;591,068,364;26,203;197,494,995;87;0
