Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
Poor People We;Poor People We;Harp and a monkey;11/28/2022;UKXN22273282;1062;1071;6;1694
6. A.M.;Motion is Emotion;Azul;10/07/22;ES40B2200055;356;1186;5;30
Numero Uno;Numero Uno;Dan-E-MC;6/15/2022;ITC152220010;4007;1224;3;695
No Fuss;Take Me Alive;Zeme Libre;1/31/2023;USCGH2304209;1754;1332;5;147
Very Cute Melody by Marimba Tone (39813);Very Cute Melody by Marimba Tone (39813);mitsu sound;12/31/2023;RUA1H2406425;62;1384;2;801
La solution;Voodoo belge;Marka;02/03/23;BEW512200007;1871;1537;3;226
23;23;Chayce Beckham;5/14/2021;QMRSZ2101045;2511;217524988;52661;12543368
23;23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J) - Single;Mike WiLL Made-It;01/01/13;USUM71312049;3409;339514083;62118;14714742
Ten by Ten;Lazy Mechanics;Carrier;2/24/2023;UKMDH2100069;1929;2265;37;2401
Do you like yogurt;Do you like yogurt - Single;Pierce;03/03/23;KRMIM2335213;3861;2508;3;433
Do Not Climb;Do Not Climb;Claps;3/16/2023;AUXN22297509;378;2723;11;237
Sabka Malik Ek;Sabka Malik Ek;Dada Black Sheep;08/12/22;FR9W12228852;467;2754;22;441
SAY for thank YOU;SAY for thank YOU;Uni kukka;2/22/2023;JPK632301501;3115;2814;3;63
Bodak Black;Young Sunny Boy 2;Young Sunny Boy;01/06/23;QZSYP2279666;3133;2974;2;1913
Ch-Ch-Ch Chick (feat. Chick McGee);A Couple of Nuts;Bob and Tom;4/18/2013;QZ5HC2126407;2501;3115;7;5
Savage Love;The Bboy Hoppers Dance Videos;Jason Derulo;05/05/20;ESA012082771;3921;3369;8;102
911;911;Fuerza Regida;11/30/2022;QZ9QQ2200130;2676;181695722;14262;7383896
He Ya Pyar Sajena;He Ya Pyar Sajena;TOADI;9/30/2022;SGB502283597;2941;3574;3;20
Fadeaway;Fadeaway;BCD Studio;06/11/21;FRX202154470;4488;3711;6;17
Mua!;Mua!;Barracca Republic;1/31/2021;USCGH2142682;4261;3739;1;3
BellaBella;Bella Bella (feat. Scelo);Vanco;2/23/2017;ZA4MG1700001;3783;3835;12;142
Raja Ji Ke Dilwa;Raja Ji Ke Dilwa;Pawan Singh;12/19/2023;INM1Q2326022;909;4283;1;3
I Am Not Okay;I Am Not Okay;Jelly Roll;06/12/24;USUG12403674;1603;4522;63;11074150
