Track,TrackURI,Album,AlbumURI,Artist,ArtistURI,Release Date,ISRC,All Time Rank,Spotify Streams,Spotify Playlist Count
Not Like Us,https://www.wikidata.org/entity/Q125778683,Not Like Us,https://www.wikidata.org/entity/Q125778683,Kendrick Lamar,https://www.wikidata.org/entity/Q130798,04-05-2024,USUG12400910,2,323703884,28113
Flowers,https://www.wikidata.org/entity/Q115945493,Endless Summer Vacation,https://www.wikidata.org/entity/Q116036412,Miley Cyrus,https://www.wikidata.org/entity/Q4235,12-01-2023,USSM12209777,4,2031280633,269802
Houdini,https://www.wikidata.org/entity/Q126196232,The Death of Slim Shady (Coup de Grâce),https://www.wikidata.org/entity/Q125621694,Eminem,https://www.wikidata.org/entity/Q5608,31-05-2024,USUG12403398,5,107034922,7223
Lovin on Me,https://www.wikidata.org/entity/Q123457329,Lovin on Me,https://www.wikidata.org/entity/Q123457329,Jack Harlow,https://www.wikidata.org/entity/Q59727812,10-11-2023,USAT22311371,6,670665438,105892
Beautiful Things,https://www.wikidata.org/entity/Q124422481,Fireworks & Rollerblades,https://www.wikidata.org/entity/Q125099786,Benson Boone,https://www.wikidata.org/entity/Q110008128,18-01-2024,USWB12307016,7,900158751,73118
I Had Some Help,https://www.wikidata.org/entity/Q125873211,F-1 Trillion,https://www.wikidata.org/entity/Q126869067,Post Malone,https://www.wikidata.org/entity/Q21621919,10-05-2024,USUM72404990,11,250080413,16219
The Doors,https://www.wikidata.org/entity/Q1755423,I've Tried Everything but Therapy (Part 1),https://www.wikidata.org/entity/Q122898487,Teddy Swims,https://www.wikidata.org/entity/Q105542333,14-06-2024,USWB12402486,12,111155129,2
Lunch,https://www.wikidata.org/entity/Q125688793,Hit Me Hard and Soft,https://www.wikidata.org/entity/Q125392346,Billie Eilish,https://www.wikidata.org/entity/Q29564107,17-05-2024,USUM72401991,13,221636195,138
Like That,https://www.wikidata.org/entity/Q125131153,We Don't Trust You,https://www.wikidata.org/entity/Q125056934,Future,https://www.wikidata.org/entity/Q3445057,22-03-2024,USSM12402041,14,355186436,43025
Fortnight,https://www.wikidata.org/entity/Q125511018,The Tortured Poets Department,https://www.wikidata.org/entity/Q124426354,Taylor Swift,https://www.wikidata.org/entity/Q26876,18-04-2024,USUG12401028,17,395433400,12784
Greedy,https://www.wikidata.org/entity/Q122662730,Think Later,https://www.wikidata.org/entity/Q123360942,Tate McRae,https://www.wikidata.org/entity/Q95129121,14-09-2023,USRC12301932,18,1258569694,105218
